name,affiliate,place,totalPoints,Hoppin and Poppin,3-1-2 Its So Complex,Toss it Im Over It Row,Toss it Im Over It Metcon,Get on Up n Git Down,WOD1,WOD2,WOD3,WOD4,WOD5
TEAM Cafe Con Leche,CROSSFIT TOWNIE,139,651,05:24,220,121,190,10:25,102,135,140,136,138
Revolt Fitness Silver Foxes,INDEPENDENT,140,658,07:16,175,150,167,08:42,141,142,106,140,129
WOD were we thinking?,"CROSSFIT CTRL FAIRMONT, WV",141,691,06:37,220,121,170,11:25,136,135,140,139,141
Holy Hopkins Batman,CROSSFIT SKYFALL,141,691,07:47,215,131,149,09:25,142,137,135,141,136
CB Radio: Coming In Hot!,CROSSFIT TRIED AND TRUE,143,693,11:10,165,141,50,10:28,143,143,126,142,139
Top Guns,GRIND SHOP,144,715,-,160,122,15,10:41,149,144,139,143,140
The Whole Person - IV,INDEPENDENT,,-,WD,-,-,-,-,,149,149,149,149
"Fitness First, Beer Second",WEST FITNESS SANTA CRUZ,,-,-,WD,WD,WD,WD,149,,,,
Generation Jones,ABSOLUTION CROSSFIT,,-,WD,WD,WD,WD,WD,,,,,
Tat or not to Tat,INDEPENDENT,,-,WD,WD,WD,WD,WD,,,,,
Killer B’s,CROSSFIT AMRAP,,-,WD,WD,WD,WD,WD,,,,,
